Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365),,
09-Sep-21,504882,2969.25,2827.9,0.0488,0.0339,0.034,0.6496,3.4,64.96
09-Sep-21,504908,200.1,200.2,-0.0005,0.0459,0.0458,0.875,4.58,87.5
09-Sep-21,504918,1931.2,1816.3,0.0613,0.0376,0.0378,0.7222,3.78,72.22
09-Sep-21,504959,2479.45,2547.8,-0.0272,0.0258,0.0258,0.4929,2.58,49.29
09-Sep-21,504961,59.9,62.05,-0.0353,0.0353,0.0353,0.6744,3.53,67.44
09-Sep-21,504988,365,370,-0.0136,0.0313,0.0312,0.5961,3.12,59.61
09-Sep-21,504998,0.4,0.4,0,0,0,0,0,0
09-Sep-21,505036,643.45,642.15,0.002,0.0298,0.0297,0.5674,2.97,56.74
09-Sep-21,505141,36.8,36.25,0.0151,0.029,0.029,0.554,2.9,55.4
09-Sep-21,505163,457,446.4,0.0235,0.0286,0.0286,0.5464,2.86,54.64
09-Sep-21,505212,63.35,60.4,0.0477,0.0174,0.0176,0.3362,1.76,33.62
09-Sep-21,505216,642,638.6,0.0053,0.0277,0.0276,0.5273,2.76,52.73
09-Sep-21,505232,1202.45,1149.95,0.0446,0.0322,0.0322,0.6152,3.22,61.52
09-Sep-21,505250,52.65,51.1,0.0299,0.0358,0.0358,0.684,3.58,68.4
09-Sep-21,505283,397.15,376.25,0.0541,0.0324,0.0326,0.6228,3.26,62.28
09-Sep-21,505285,173.65,173.65,0,0.0068,0.0068,0.1299,0.68,12.99
09-Sep-21,505299,125.9,126.1,-0.0016,0.0376,0.0375,0.7164,3.75,71.64
09-Sep-21,505302,776.4,705.85,0.0953,0.1465,0.1463,2.7951,14.63,279.51
09-Sep-21,505320,25.9,25.9,0,0.0065,0.0065,0.1242,0.65,12.42
09-Sep-21,505336,0.93,0.93,0,0.0078,0.0078,0.149,0.78,14.9
09-Sep-21,505343,0.3,0.3,0,0.0162,0.0162,0.3095,1.62,30.95
09-Sep-21,505358,62.35,60.95,0.0227,0.0388,0.0387,0.7394,3.87,73.94
09-Sep-21,505504,15.55,15.55,0,0.0008,0.0008,0.0153,0.08,1.53
09-Sep-21,505515,13.12,12.5,0.0484,0.0166,0.0169,0.3229,1.69,32.29
09-Sep-21,505523,0.53,0.53,0,0.0283,0.0282,0.5388,2.82,53.88
09-Sep-21,505576,140.25,127.5,0.0953,0.0336,0.0342,0.6534,3.42,65.34
09-Sep-21,505585,13.46,13.46,0,0.0076,0.0076,0.1452,0.76,14.52
09-Sep-21,505594,32.8,32.8,0,0,0,0,0,0
09-Sep-21,505650,10.47,11.02,-0.0512,0.0323,0.0324,0.619,3.24,61.9
09-Sep-21,505681,346.65,335.7,0.0321,0.0292,0.0292,0.5579,2.92,55.79
09-Sep-21,505685,95.05,95.05,0,0.0054,0.0054,0.1032,0.54,10.32
09-Sep-21,505690,156.5,152.95,0.0229,0.0332,0.0331,0.6324,3.31,63.24
09-Sep-21,505693,88.9,87.85,0.0119,0.0356,0.0355,0.6782,3.55,67.82
09-Sep-21,505703,5.94,5.94,0,0.0146,0.0146,0.2789,1.46,27.89
09-Sep-21,505711,2.39,2.29,0.0427,0.0335,0.0335,0.64,3.35,64
09-Sep-21,505712,111,110.85,0.0014,0.0439,0.0438,0.8368,4.38,83.68
09-Sep-21,505725,848.05,850,-0.0023,0.0326,0.0325,0.6209,3.25,62.09
09-Sep-21,505729,61.75,63.25,-0.024,0.038,0.0379,0.7241,3.79,72.41
09-Sep-21,505737,195,190,0.026,0.0331,0.033,0.6305,3.3,63.05
09-Sep-21,505750,506,500.8,0.0103,0.0562,0.0561,1.0718,5.61,107.18
09-Sep-21,505807,118.2,118.2,0,0.0008,0.0008,0.0153,0.08,1.53
